"COUNTRY.Name","INDICATOR.Name","TYPE_OF_TRANSFORMATION.Name","FREQUENCY.Name","TIME_PERIOD","OBS_VALUE"
"Ecuador","Loan Accounts, Commercial banks","Number","Annual","2022","2321004"
"Ecuador","Loan Accounts, Commercial banks","Number","Annual","2023","2398300"
"Egypt, Arab Republic of","Loan Accounts, Commercial banks","Number","Annual","2016","9097045"
"Egypt, Arab Republic of","Loan Accounts, Commercial banks","Number","Annual","2017","8644078"
"Egypt, Arab Republic of","Loan Accounts, Commercial banks","Number","Annual","2018","9746863"
"Egypt, Arab Republic of","Loan Accounts, Commercial banks","Number","Annual","2019","10384265"
"Egypt, Arab Republic of","Loan Accounts, Commercial banks","Number","Annual","2020","11152632"
"Egypt, Arab Republic of","Loan Accounts, Commercial banks","Number","Annual","2021","10387746"
"Egypt, Arab Republic of","Loan Accounts, Commercial banks","Number","Annual","2022","10626323"
"Egypt, Arab Republic of","Loan Accounts, Commercial banks","Number","Annual","2023","11412350"
"Spain","Loan Accounts, Commercial banks","Number","Annual","2016","33172014"
"Spain","Loan Accounts, Commercial banks","Number","Annual","2017","37343717"
"Spain","Loan Accounts, Commercial banks","Number","Annual","2018","40952585"
"Spain","Loan Accounts, Commercial banks","Number","Annual","2019","40949120"
"Spain","Loan Accounts, Commercial banks","Number","Annual","2020","47423638"
"Spain","Loan Accounts, Commercial banks","Number","Annual","2021","47239119"
"Spain","Loan Accounts, Commercial banks","Number","Annual","2022","45339196"
"Spain","Loan Accounts, Commercial banks","Number","Annual","2023","48180828"
"Estonia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2016","740636"
"Estonia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2017","762720"
"Estonia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2018","791383"
"Estonia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2019","845738"
"Estonia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2020","800790"
"Estonia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2021","660213"
"Estonia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2022","655516"
"Estonia, Republic of","Loan Accounts, Commercial banks","Number","Annual","2023","643405"
"Ethiopia, The Federal Democratic Republic of","Loan Accounts, Commercial banks","Number","Annual","2022","2193549"
"Ethiopia, The Federal Democratic Republic of","Loan Accounts, Commercial banks","Number","Annual","2023","3049213"
"Fiji, Republic of","Loan Accounts, Commercial banks","Number","Annual","2016","119764"
"Fiji, Republic of","Loan Accounts, Commercial banks","Number","Annual","2017","106247"
"Fiji, Republic of","Loan Accounts, Commercial banks","Number","Annual","2018","98825"
"Fiji, Republic of","Loan Accounts, Commercial banks","Number","Annual","2019","94661"
"Fiji, Republic of","Loan Accounts, Commercial banks","Number","Annual","2020","80010"
"Fiji, Republic of","Loan Accounts, Commercial banks","Number","Annual","2021","79624"
"Fiji, Republic of","Loan Accounts, Commercial banks","Number","Annual","2022","70599"
"Micronesia, Federated States of","Loan Accounts, Commercial banks","Number","Annual","2016","7709"
"Micronesia, Federated States of","Loan Accounts, Commercial banks","Number","Annual","2017","7775"
"Micronesia, Federated States of","Loan Accounts, Commercial banks","Number","Annual","2018","8007"
"Micronesia, Federated States of","Loan Accounts, Commercial banks","Number","Annual","2019","8012"
"Micronesia, Federated States of","Loan Accounts, Commercial banks","Number","Annual","2020","8009"
"Micronesia, Federated States of","Loan Accounts, Commercial banks","Number","Annual","2021","8047"
"Micronesia, Federated States of","Loan Accounts, Commercial banks","Number","Annual","2022","7608"
"Micronesia, Federated States of","Loan Accounts, Commercial banks","Number","Annual","2023","7877"
"Georgia","Loan Accounts, Commercial banks","Number","Annual","2016","3096927"
"Georgia","Loan Accounts, Commercial banks","Number","Annual","2017","3751305"
"Georgia","Loan Accounts, Commercial banks","Number","Annual","2018","3524396"
"Georgia","Loan Accounts, Commercial banks","Number","Annual","2019","2943018"
"Georgia","Loan Accounts, Commercial banks","Number","Annual","2020","3040797.0014"
"Georgia","Loan Accounts, Commercial banks","Number","Annual","2021","3065627"
"Georgia","Loan Accounts, Commercial banks","Number","Annual","2022","3079435"
"Georgia","Loan Accounts, Commercial banks","Number","Annual","2023","3367296"
"Guinea","Loan Accounts, Commercial banks","Number","Annual","2016","110057"
"Guinea","Loan Accounts, Commercial banks","Number","Annual","2017","100104"
"Guinea","Loan Accounts, Commercial banks","Number","Annual","2018","119727"
"Guinea","Loan Accounts, Commercial banks","Number","Annual","2019","139705"
"Guinea","Loan Accounts, Commercial banks","Number","Annual","2020","179262"
"Guinea","Loan Accounts, Commercial banks","Number","Annual","2021","186072"
"Guinea","Loan Accounts, Commercial banks","Number","Annual","2022","206343"
"Guinea","Loan Accounts, Commercial banks","Number","Annual","2023","223447"
"Gambia, The","Loan Accounts, Commercial banks","Number","Annual","2016","53215"
"Gambia, The","Loan Accounts, Commercial banks","Number","Annual","2017","40357"
"Gambia, The","Loan Accounts, Commercial banks","Number","Annual","2018","39427"
